Date,LTP,Open,High,Low,Quantity,Score
3/28/2011,267.402405,267.197205,269.97998,266.016022,3991600,0.017716667
3/29/2011,267.917908,269.34433,271.001007,267.857849,4108000,-0.141590909
3/30/2011,269.1091,267.767761,269.514526,265.815826,3893500,-0.0822
3/31/2011,271.601593,270.270264,272.487488,269.039032,4081700,0.06601875
4/01/2011,267.992981,270.340332,272.047058,267.112122,4672900,0.1840125
4/04/2011,267.792786,267.887878,268.738739,265.720734,2893700,0.030582353
4/05/2011,265.040039,267.572571,268.228241,264.789795,4213100,0.0273875
4/06/2011,259.469482,263.418427,263.898895,258.458466,5910400,-0.069555556
4/07/2011,265.495483,257.972961,265.875885,257.772766,6600500,-0.025006667
4/08/2011,265.170166,265.035034,265.43042,263.113098,3902400,-0.043428571
4/10/2011,265.8909,266.631622,268.538544,265.125122,4932400,-0.2392
4/11/2011,262.277283,266.166168,266.261261,261.826813,4630300,0.052695238
4/12/2011,259.454468,258.558563,260.260254,256.95697,4595400,-0.128090909
4/13/2011,259.389404,260.445435,262.242249,259.33432,3796200,-0.079675
4/14/2011,260.095093,258.92392,261.646637,258.883881,2600500,0.009302857
4/15/2011,259.32431,259.1091,261.32132,257.757751,4232700,-0.006492308
4/16/2011,260.710724,259.499512,261.156158,258.408417,3488100,0.0318
4/17/2011,264.77478,262.762756,264.789795,262.012024,5369200,-0.1691
4/18/2011,263.063049,264.284271,266.866852,262.917908,5905800,-0.096652941
4/19/2011,264.294281,264.049042,265.415405,261.501495,4404500,0.042505
4/20/2011,261.801788,261.261261,264.064056,261.011017,3493500,0.002545455
4/21/2011,260.790802,262.032043,263.673676,259.884888,3880300,0.090218182
4/22/2011,259.77478,261.706696,262.577576,259.754761,3811300,-0.036442857
4/24/2011,259.844849,258.523529,260.88089,258.148163,3303400,0.1909
4/25/2011,258.623627,260.260254,260.260254,258.078064,3374800,0.031918182
4/26/2011,255.01001,257.297302,258.603607,254.899902,4874900,0.064955556
4/27/2011,252.617615,255.255249,255.355362,251.336334,4849700,0.076667857
4/28/2011,254.439438,254.32933,257.297302,253.748749,4678300,-0.009063158
4/29/2011,251.72673,252.767761,254.429428,250.555557,4142400,-0.106066667
5/01/2011,250.43544,251.656662,253.538544,248.583588,5508400,-0.3182
5/02/2011,242.752747,253.343338,253.598602,242.642639,10480300,-0.0085
5/03/2011,242.532532,242.742737,243.358353,239.854858,6051100,-0.090914286
5/04/2011,246.74675,243.838837,247.217224,242.607605,5525200,0.0044875
5/05/2011,243.748749,245.970978,246.421417,243.608612,4809300,-0.034866667
5/06/2011,240.350357,241.306305,241.671677,237.102097,9593700,-0.06882
5/07/2011,237.677673,240.580582,240.615616,236.74675,7603500,0
5/08/2011,241.641647,237.237244,244.444443,237.037033,6882500,-0.036125
5/09/2011,247.072067,242.252258,248.353348,242.252258,5424700,-0.06696
5/10/2011,249.034027,248.518524,250.375381,246.436432,4681300,0.053748485
5/11/2011,253.443451,251.246246,253.588593,251.001007,4851900,-0.086928571
5/12/2011,260.775787,253.623627,260.850861,253.443451,7266100,-0.100852381
5/13/2011,266.486481,262.912903,267.967957,262.912903,7690700,0.0526875
5/14/2011,267.947937,267.017029,269.524536,266.786774,5385800,0
5/15/2011,273.573578,270.770782,275.615601,268.208221,7863100,0.24695
5/16/2011,266.261261,266.74173,269.094086,263.898895,9530800,-0.0033
5/17/2011,263.9039,264.35434,268.25827,263.013,5672900,-0.039161538
5/18/2011,267.272278,264.34433,269.97998,263.263275,5676700,0.064553333
5/19/2011,269.399414,268.768768,272.272278,268.508514,5574800,-0.00403125
5/20/2011,264.734741,269.829834,271.271271,263.628632,13285700,0.069063636
5/21/2011,299.1091,299.049042,300.425415,294.374359,27436700,0
5/22/2011,297.767761,296.541534,301.326324,296.296295,8927600,0
5/23/2011,301.576569,298.368378,302.642639,298.063049,5929000,0.07793125
5/24/2011,297.972961,301.391388,301.716705,297.972961,4451100,0.040335
5/25/2011,303.798798,297.312317,304.33432,297.302307,6932000,-0.059251852
5/26/2011,309.424438,302.997986,310.060059,302.437439,7049300,0.108876923
5/27/2011,309.799805,306.987,313.018005,306.806793,6256900,0.105147826
5/29/2011,311.571564,309.33432,314.064056,308.918915,4681100,-0.1779
5/30/2011,303.91391,308.898895,310.785797,302.677673,7860900,0.0114
5/31/2011,305.775787,302.897888,308.298309,301.801788,6210500,-0.165082609
6/01/2011,302.147156,302.417419,307.787781,302.147156,8266500,0.082659259
6/02/2011,303.68869,305.915924,308.058044,299.889893,7924200,0.080866667
6/03/2011,296.49649,303.303314,305.140137,296.081085,6394700,0.025783333
